Year,Nb de saumons,,
1950,0,,"Source FAO. Multiplication des chiffres en tonnes x 1000 et divisée par 3, car poids moyen d'un saumon = 3kg"
1951,0,,
1952,0,,
1953,0,,
1954,0,,
1955,0,,
1956,0,,
1957,0,,
1958,0,,
1959,0,,
1960,0,,
1961,0,,
1962,0,,
1963,0,,
1964,333,,
1965,667,,
1966,1 333,,
1967,2 667,,
1968,5 000,,
1969,9 000,,
1970,98 000,,
1971,104 667,,
1972,119 667,,
1973,190 667,,
1974,324 667,,
1975,419 333,,
1976,550 333,,
1977,759 000,,
1978,1 318 667,,
1979,1 653 667,,
1980,1 762 667,,
1981,3 369 333,,
1982,4 421 667,,
1983,6 879 333,,
1984,8 995 000,,
1985,12 932 333,,
1986,19 659 667,,
1987,22 382 000,,
1988,36 866 000,,
1989,56 021 000,,
1990,75 214 000,,
1991,88 761 000,,
1992,82 509 333,,
1993,101 870 000,,
1994,124 977 000,,
1995,155 081 667,,
1996,183 968 667,,
1997,215 505 333,,
1998,229 409 000,,
1999,268 538 667,,
2000,298 602 667,,
2001,343 335 000,,
2002,362 044 667,,
2003,382 560 667,,
2004,420 642 000,,
2005,422 432 333,,
2006,439 573 333,,
2007,459 624 667,,
2008,483 755 633,,
2009,483 878 310,,
2010,479 017 330,,
2011,578 462 847,,
2012,691 466 033,,
2013,697 902 637,,
2014,782 465 987,,
2015,793 621 382,,
2016,748 892 853,,
2017,786 121 017,,
2018,808 590 863,,
2019,876 447 811,,
2020,907 001 752,,
2021,968 465 255,,
