Producteur,Production en tonnes,Nombre de projets,Pays des projets,Nom commercial,Date de création,Siège,Drapeau,Site internet,Revenus 2022 dollars,Employés 2022,Note
Pure Salmon,260000,8,"Arabie Saoudite, Etats Unis, Chine, France, Japon, Lesotho, Brunei, à définir",Pure Salmon,2018,"Abu Dhabi, Emirats Arabes Unis",🇦🇪,http://www.pure-salmon.com/,,250,Financé par 8F Asset Management
Atlantic Sapphire,200000,1,Etats Unis,Atlantic Sapphire ,2010,"Miami, Florida, Etats Unis",🇺🇸,https://atlanticsapphire.com/,18954000,177,
Norwegian Mountain Salmon,115000,2,"Royaume Uni, Norvège",Norwegian Mountain Salmon AS,,,🇳🇴,https://www.norwegianmountainsalmon.no/,,12,
Maiken Foods,106000,2,Portugal,Maiken Foods AS,2021,"Oslo, Norvège",🇳🇴,https://maikenfoods.com/,,,
Salmon Evolution,100000,4,"Etats Unis, Corée du Sud, Norvège, à définir",Hofseth International,2001,"Alesund, Norvège",🇳🇴,http://www.hofseth.no/,,500,
Sotenas Marine Park,100000,1,Suède,Quality Salmon Sotenäs AB,2021,"Sotenäs, Norvège",🇳🇴,https://seafood.media/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=169963&submenu=info,,,
World Heritage Salmon,100000,1,Norvège,Salmon Evolution,2017,"Elnesvågen, Norvège",🇳🇴,https://salmonevolution.no/,,65,Financé par Lighthouse Finance
Qingdao Guoxin,80700,3,Chine,"Qingdao Guoxin Development (Group) Co., Ltd.",2008,"Shandong Sheng, Chine",🇨🇳,,,,
Sande Aqua AS,66000,1,Norvège,,,,🇳🇴,,,,
West Coast Salmon,60000,1,Etats Unis,West Coast Salmon,2019,"Oslo, Norvège",🇳🇴,www.westcoast.no,,10,
