Année,Tonnes de saumon produit en élevage,Nombre de saumons (5kg chacun)
1950,0.0,0
1951,0.0,0
1952,0.0,0
1953,0.0,0
1954,0.0,0
1955,0.0,0
1956,0.0,0
1957,0.0,0
1958,0.0,0
1959,0.0,0
1960,0.0,0
1961,0.0,0
1962,0.0,0
1963,0.0,0
1964,1.0,200
1965,2.0,400
1966,4.0,800
1967,8.0,1600
1968,15.0,3000
1969,27.0,5400
1970,294.0,58800
1971,314.0,62800
1972,359.0,71800
1973,572.0,114400
1974,974.0,194800
1975,1258.0,251600
1976,1651.0,330200
1977,2277.0,455400
1978,3956.0,791200
1979,4961.0,992200
1980,5288.0,1057600
1981,10108.0,2021600
1982,13265.0,2653000
1983,20638.0,4127600
1984,26985.0,5397000
1985,38797.0,7759400
1986,58979.0,11795800
1987,67146.0,13429200
1988,110598.0,22119600
1989,168063.0,33612600
1990,225642.0,45128400
1991,266283.0,53256600
1992,247528.0,49505600
1993,305610.0,61122000
1994,374931.0,74986200
1995,465245.0,93049000
1996,551906.0,110381200
1997,646516.0,129303200
1998,688227.0,137645400
1999,805616.0,161123200
2000,895808.0,179161600
2001,1030005.0,206001000
2002,1086134.0,217226800
2003,1147682.0,229536400
2004,1261926.0,252385200
2005,1267297.0,253459400
2006,1318720.0,263744000
2007,1378874.0,275774800
2008,1451266.9,290253380
2009,1451634.93,290326986
2010,1437051.99,287410398
2011,1735388.54,347077708
2012,2074398.1,414879620
2013,2093707.91,418741582
2014,2347397.96,469479592
2015,2380864.145,476172829
2016,2246678.559,449335712
2017,2358363.0500000003,471672610
2018,2425772.59,485154518
2019,2629343.434,525868687
2020,2721005.255,544201051
2021,2905395.764,581079153
