,Description des critères,Saumon (élevage terrestre),Saumon (élevage en mer),Thon albacore pêché ,"Sardines, maquereaux","Coquillages (moules, huîtres)",Algues,Simili saumon fumé,Huile de colza (bio)
Éléments toxiques,"Impacts sur la santé humaine. Niveau de contamination aux polluants éternels (PCB, PFAS), métaux lourds et microplastiques. ","5 - Contamination aux PCB, PFAS et microplastiques. Principal mode d'imprégnation : les poissons gras et les crustacés.","5 - Contamination aux PCB, PFAS et microplastique. Principal mode d'imprégnation : les poissons gras et les crustacés.",6 - Le thon est le poisson présentant le plus fort taux de contamination au mercure.,5 - Les poissons gras sont parmi les espèces les plus contaminées aux polluants.,4 - Les coquillages sont parmi les espèces les plus contaminées aux polluants.,2 - La contamination des algues varie selon la qualité de l'eau.,"1 - Le simili saumon fumé ne contient pas d'éléments toxiques (PCB, PFAS, microplastiques).","1 - L'huile de colza bio ne contient pas d'éléments toxiques (PCB, PFAS, microplastiques)."
Apport en oméga 3,"Impacts sur la santé nutritionnelle. Paradoxe, la population française est en insuffisance d'oméga 3 malgré la hausse de la consommation de poissons. Découvrez pourquoi dans la méthodologie.  ",2 - Consommer quotidiennement 100g de saumon fumé couvre 73% des besoins journaliers en oméga 3. Oméga 3 de type DHA et EPA 🐟.,2 - Consommer quotidiennement 100g de saumon fumé couvre 73% des besoins journaliers en oméga 3. Oméga 3 de type DHA et EPA 🐟.,5 - Consommer quotidiennement 100g de thon albacore couvre 29% des besoins journaliers en oméga 3. Oméga 3 de type DHA et EPA 🐟.,1 - Consommer quotidiennement 100g de sardines/maquereaux couvre 93% des besoins journaliers en oméga 3. Oméga 3 de type DHA et EPA 🐟.,5 - Consommer quotidiennement 100g de coquillages couvre 17% des besoins journaliers en oméga 3. Oméga 3 de type DHA et EPA 🐟.,6 - Les algues ne contiennent pas d'oméga 3.,2 - Consommer quotidiennement 100g de simili couvre 74% des besoins journaliers en oméga 3. Oméga 3 de type ALA 🌱.,"1 - Consommer quotidiennement 100g d'huile de colza couvre 328% des besoins journaliers en oméga 3. Pour atteindre les 100% d'apports journaliers pour 100g, 2 à 3 cuillères à soupe par jour suffisent. Oméga 3 de type ALA 🌱."
Biodiversité,Impacts sur les écosystèmes aquatiques et terrestres & sur les espèces animales sauvages et d’élevage.,5 - Fortes pressions environnementales liées à l’alimentation des saumons : l'approvisionnement en farines végétales contribue à la déforestation en Amazonie ; les farines de poissons aggravent la surpêche et le déclin des populations de poissons sauvages.,"6 - Forte pressions environnementales liées à l'alimentation des saumons et dégradation forte de la qualité de l'eau du milieu marin : rejets de nutriments et d'excréments, eutrophisation et bloom de phytoplancton, rejets de pesticides et microplastiques.","6 - Les techniques utilisées par les pêcheries de thons impactent de nombreuses espèces non ciblées (100,000 tonnes de captures accessoires et rejets chaque année dans les pêcheries mondiales de thon).","4 - Acidification terrestre et eaux douces, épuisement des ressources énergétiques et eau, écotoxicité pour écosystèmes aquatiques d'eau douce.",4 - Épuisement des ressources énergétiques.,"5 - Acidification terrestre et eaux douces, épuisement des ressources minéraux.","2 - Impact faible sur les écosystèmes terrestres, aquatiques et sur la faune sauvage.",1 - La production en bio ne présente quasiment aucun impact.
Empreinte carbone,Émissions de gaz à effet de serre (GES).,6 - L'empreinte carbone du saumon (élevage terrestre) est estimée entre 2 et 14kg de CO2 équivalent par kg de saumon produit.,5 - L'empreinte carbone du saumon (élevage en mer) est estimée entre 7 et 10kg de CO2 équivalent de saumon produit.,3 - L'empreinte carbone du thon albacore est estimée à 4.4kg de CO2 équivalent par kg de thon produit.,4 - L'empreinte carbone des sardines/maquereaux est estimée à 7.26kg de CO2 équivalent par kg produit.,4 - L'empreinte carbone des coquillages est estimée à 5.7kg de CO2 équivalent par kg produit.,"4 - L'empreinte carbone des algues est estimée à 6.7kg de CO2 équivalent par kg produit (moyenne de ulva, nori, kombu breton, haricot de mer).",1 - L'empreinte carbone du smili est estimée à 1.6kg de CO2 équivalent par kg produit.,2 - L'empreinte carbone de l'huile de colza est estimée à 2.3kg de CO2 équivalent par kg produit.
Impacts sociaux ,"Impacts sur les droits humains, sur l'équité d'accès à l'alimentation, et sur l'emploi.",6 - Fort détournement des productions de soja et de la pêche des petits pélagiques pour nourrir les saumons au détriment des peuples humains ; 90% des captures de la pêche minotière mondiale sont composés d’espèces directement comestibles par les humains.,6 - Fort détournement des productions de soja et de la pêche des petits poissons pélagiques pour nourrir les saumons d'élevage au détriment des peuples humains ; 90% des captures de la pêche minotière mondiale sont composés d’espèces directement comestibles par les humains.,6 - L'élevage de thons en fermes (55% des thons produits) pollue les eaux et les terres avec des produits chimiques et des antibiotiques. Les poissons tombent malades et les maladies peuvent se répandre vite via les oiseaux marins qui les mangent.,"4 - La pêche des sardines/maquereaux provient de l'océan Atlantique Nord-Est (Méditerranée, Maroc et Mauritanie) au chalut coulissant et à la senne pélagique, mettant en péril la sécurité alimentaire des communautés locales.","3 - La production de coquillages est un secteur d'emploi important (environ 17 000 personnes), il s'agit d'une main d'oeuvre familiale.","1 - Le développement et la consommation d'algues est recommandé pour la transformation du système alimentaire par les institutions internationales (FAO) et les institutions européennes, et correspond à l'ODD (objectif de développement durable) relatif à une aquaculture durable/faible niveau trophique. C'est une filière en plein essor.",2 - Production locale et porteuse d'emploi.,1 - La production d'huile de colza est une filière porteuse d'emploi. Elle a besoin de soutien pour la production bio.
Condition animale,"Impacts sur les conditions de vie des animaux selon la densité dans les cages, les maladies, les pratiques d'élevage et de pêche. ","6 - Dans les fermes d'élevage de saumon terrestre, les densités sont de 70 kg à 150 kg de saumons par mètre cube d'eau, ce qui augmentent les risques de maladies infectieuses.","5 - Dans les élevages de saumons en cages marines, les densités sont de l'ordre de 25 kg de saumons par mètre cube d'eau. Le bien-être est dégradé à partir du seuil d'environ 10-20 kg/m3.","6 -  Souffrances des thons capturés, après suffocation et agonie, ils sont congelés vivants dans les cales des navires. 100,000 tonnes d'espèces non ciblées sont capturées et rejetées chaque année dans les pêcheries mondiales de thon.",3 - Stress et souffrances liés à l'agonie des poissons pris au piège dans les filets.,2 - Peu d'impact sur la condition animale.,1 - Pas d'impact sur la condition animale.,1 - Pas d'impact sur la condition animale.,1 - Pas d'impact sur la condition animale.
