Année,Tonnes de saumons produits en élevage,Pays
1950,0,Royaume-Uni
1950,0,Suède
1950,0,Norvège
1950,0,Corée du Nord
1950,0,Irlande
1950,0,Finlande
1950,0,Canada
1951,0,Royaume-Uni
1951,0,Suède
1951,0,Norvège
1951,0,Corée du Nord
1951,0,Irlande
1951,0,Finlande
1951,0,Canada
1952,0,Royaume-Uni
1952,0,Suède
1952,0,Norvège
1952,0,Corée du Nord
1952,0,Irlande
1952,0,Finlande
1952,0,Canada
1953,0,Royaume-Uni
1953,0,Suède
1953,0,Norvège
1953,0,Corée du Nord
1953,0,Irlande
1953,0,Finlande
1953,0,Canada
1954,0,Royaume-Uni
1954,0,Suède
1954,0,Norvège
1954,0,Corée du Nord
1954,0,Irlande
1954,0,Finlande
1954,0,Canada
1955,0,Royaume-Uni
1955,0,Suède
1955,0,Norvège
1955,0,Corée du Nord
1955,0,Irlande
1955,0,Finlande
1955,0,Canada
1956,0,Royaume-Uni
1956,0,Suède
1956,0,Norvège
1956,0,Corée du Nord
1956,0,Irlande
1956,0,Finlande
1956,0,Canada
1957,0,Royaume-Uni
1957,0,Suède
1957,0,Norvège
1957,0,Corée du Nord
1957,0,Irlande
1957,0,Finlande
1957,0,Canada
1958,0,Royaume-Uni
1958,0,Suède
1958,0,Norvège
1958,0,Corée du Nord
1958,0,Irlande
1958,0,Finlande
1958,0,Canada
1959,0,Royaume-Uni
1959,0,Suède
1959,0,Norvège
1959,0,Corée du Nord
1959,0,Irlande
1959,0,Finlande
1959,0,Canada
1960,0,Royaume-Uni
1960,0,Suède
1960,0,Norvège
1960,0,Corée du Nord
1960,0,Irlande
1960,0,Finlande
1960,0,Canada
1961,0,Royaume-Uni
1961,0,Suède
1961,0,Norvège
1961,0,Corée du Nord
1961,0,Irlande
1961,0,Finlande
1961,0,Canada
1962,0,Royaume-Uni
1962,0,Suède
1962,0,Norvège
1962,0,Corée du Nord
1962,0,Irlande
1962,0,Finlande
1962,0,Canada
1963,0,Royaume-Uni
1963,0,Suède
1963,0,Norvège
1963,0,Corée du Nord
1963,0,Irlande
1963,0,Finlande
1963,0,Canada
1964,0,Royaume-Uni
1964,0,Suède
1964,1,Norvège
1964,0,Corée du Nord
1964,0,Irlande
1964,0,Finlande
1964,0,Canada
1965,0,Royaume-Uni
1965,0,Suède
1965,2,Norvège
1965,0,Corée du Nord
1965,0,Irlande
1965,0,Finlande
1965,0,Canada
1966,0,Royaume-Uni
1966,0,Suède
1966,4,Norvège
1966,0,Corée du Nord
1966,0,Irlande
1966,0,Finlande
1966,0,Canada
1967,0,Royaume-Uni
1967,0,Suède
1967,8,Norvège
1967,0,Corée du Nord
1967,0,Irlande
1967,0,Finlande
1967,0,Canada
1968,0,Royaume-Uni
1968,0,Suède
1968,15,Norvège
1968,0,Corée du Nord
1968,0,Irlande
1968,0,Finlande
1968,0,Canada
1969,0,Royaume-Uni
1969,0,Suède
1969,27,Norvège
1969,0,Corée du Nord
1969,0,Irlande
1969,0,Finlande
1969,0,Canada
1970,244,Royaume-Uni
1970,0,Suède
1970,50,Norvège
1970,0,Corée du Nord
1970,0,Irlande
1970,0,Islande
1970,0,Finlande
1970,0,Chili
1970,0,Canada
1971,216,Royaume-Uni
1971,0,Suède
1971,98,Norvège
1971,0,Corée du Nord
1971,0,Irlande
1971,0,Islande
1971,0,Finlande
1971,0,Chili
1971,0,Canada
1972,213,Royaume-Uni
1972,0,Suède
1972,146,Norvège
1972,0,Corée du Nord
1972,0,Irlande
