,Year,Tonnes - live weight,Country,alpha-3
0,1950,0.0,United Kingdom,GBR
1,1950,0.0,Sweden,SWE
2,1950,0.0,Norway,NOR
3,1950,0.0,"Korea, Dem. People's Rep",PRK
4,1950,0.0,Ireland,IRL
5,1950,0.0,Finland,FIN
6,1950,0.0,Canada,CAN
7,1951,0.0,United Kingdom,GBR
8,1951,0.0,Sweden,SWE
9,1951,0.0,Norway,NOR
10,1951,0.0,"Korea, Dem. People's Rep",PRK
11,1951,0.0,Ireland,IRL
12,1951,0.0,Finland,FIN
13,1951,0.0,Canada,CAN
14,1952,0.0,United Kingdom,GBR
15,1952,0.0,Sweden,SWE
16,1952,0.0,Norway,NOR
17,1952,0.0,"Korea, Dem. People's Rep",PRK
18,1952,0.0,Ireland,IRL
19,1952,0.0,Finland,FIN
20,1952,0.0,Canada,CAN
21,1953,0.0,United Kingdom,GBR
22,1953,0.0,Sweden,SWE
23,1953,0.0,Norway,NOR
24,1953,0.0,"Korea, Dem. People's Rep",PRK
25,1953,0.0,Ireland,IRL
26,1953,0.0,Finland,FIN
27,1953,0.0,Canada,CAN
28,1954,0.0,United Kingdom,GBR
29,1954,0.0,Sweden,SWE
30,1954,0.0,Norway,NOR
31,1954,0.0,"Korea, Dem. People's Rep",PRK
32,1954,0.0,Ireland,IRL
33,1954,0.0,Finland,FIN
34,1954,0.0,Canada,CAN
35,1955,0.0,United Kingdom,GBR
36,1955,0.0,Sweden,SWE
37,1955,0.0,Norway,NOR
38,1955,0.0,"Korea, Dem. People's Rep",PRK
39,1955,0.0,Ireland,IRL
40,1955,0.0,Finland,FIN
41,1955,0.0,Canada,CAN
42,1956,0.0,United Kingdom,GBR
43,1956,0.0,Sweden,SWE
44,1956,0.0,Norway,NOR
45,1956,0.0,"Korea, Dem. People's Rep",PRK
46,1956,0.0,Ireland,IRL
47,1956,0.0,Finland,FIN
48,1956,0.0,Canada,CAN
49,1957,0.0,United Kingdom,GBR
50,1957,0.0,Sweden,SWE
51,1957,0.0,Norway,NOR
52,1957,0.0,"Korea, Dem. People's Rep",PRK
53,1957,0.0,Ireland,IRL
54,1957,0.0,Finland,FIN
55,1957,0.0,Canada,CAN
56,1958,0.0,United Kingdom,GBR
57,1958,0.0,Sweden,SWE
58,1958,0.0,Norway,NOR
59,1958,0.0,"Korea, Dem. People's Rep",PRK
60,1958,0.0,Ireland,IRL
61,1958,0.0,Finland,FIN
62,1958,0.0,Canada,CAN
63,1959,0.0,United Kingdom,GBR
64,1959,0.0,Sweden,SWE
65,1959,0.0,Norway,NOR
66,1959,0.0,"Korea, Dem. People's Rep",PRK
67,1959,0.0,Ireland,IRL
68,1959,0.0,Finland,FIN
69,1959,0.0,Canada,CAN
70,1960,0.0,United Kingdom,GBR
71,1960,0.0,Sweden,SWE
72,1960,0.0,Norway,NOR
73,1960,0.0,"Korea, Dem. People's Rep",PRK
74,1960,0.0,Ireland,IRL
75,1960,0.0,Finland,FIN
76,1960,0.0,Canada,CAN
77,1961,0.0,United Kingdom,GBR
78,1961,0.0,Sweden,SWE
79,1961,0.0,Norway,NOR
80,1961,0.0,"Korea, Dem. People's Rep",PRK
81,1961,0.0,Ireland,IRL
82,1961,0.0,Finland,FIN
83,1961,0.0,Canada,CAN
84,1962,0.0,United Kingdom,GBR
85,1962,0.0,Sweden,SWE
86,1962,0.0,Norway,NOR
87,1962,0.0,"Korea, Dem. People's Rep",PRK
88,1962,0.0,Ireland,IRL
89,1962,0.0,Finland,FIN
90,1962,0.0,Canada,CAN
