Country,Flag,Apparent consumption,Apparent consumption per capita,Production (Capture + Aquaculture),Export,Import
USA,🇺🇸,947680.3334,2.82096413488043,383107.189,266717.07111,831290.21551
Russia,🇷🇺,536652.31,3.68536853526717,555427,103385.53,84610.84
Japan,🇯🇵,480318.12645,3.8350283560222,112767,9599.28275,377150.4092
France,🇫🇷,269778.26999,4.18390617230149,3.965,55164.95845,324939.26344
United Kingdom,🇬🇧,209564.263606,3.12507290007307,205423,139921.955714,144063.21932
Germany,🇩🇪,187368.29947,2.24853651753891,3,79453.6124,266818.91187
Italy,🇮🇹,141233.39764,2.37363065561923,0,4215.93665,145449.33429
Brazil,🇧🇷,115320.66231,0.540913817848365,0,164.97798,115485.64029
Canada,🇨🇦,107988.7566,2.85013477790388,124401,129016.76819,112604.52479
Spain,🇪🇦,100765.781735,2.12747617884891,2.8,14890.74341,115653.725145
Australia,🇦🇺,73567.421395,2.86589097760031,84045.234,30360.539255,19882.72665
Sweden,🇸🇪,65831.8374590001,6.34890900366478,400.61,656285.974201,721717.20166
Israel,🇮🇱,58465.19582,6.67639554870389,0,150.7484,58615.94422
Republic of Korea,🇰🇷,56049.621771,1.08109985092101,177.783,21497.675432,77369.514203
Ukraine,🇺🇦,53553.266539,1.21961435980414,0,4288.773112,57842.039651
