,Pays,Drapeau,Consommation apparente,Consommation apparente par habitant,Production (Capture + Aquaculture),Export,Import
0,,🇺🇸,849078.2727,2.52745495561734,394924.0,262447.72069,716601.99339
1,,🇷🇺,463072.92707,3.18007462775637,535702.0,159709.5,87080.42707
2,Japon,🇯🇵,462383.44619,3.69183157962394,111548.0,11934.11908,362769.56527
3,France,🇫🇷,210899.50808,3.27077400868486,11.37,28126.3754,239014.51348
4,Allemagne,🇩🇪,192384.50142,2.3087340712117,5.0,74949.28099,267328.78241
5,Royaume-Uni,🇬🇧,176371.159449,2.63008931610969,203981.0,158328.246851,130718.4063
6,Italie,🇮🇹,132473.97886,2.22641600746206,0.0,4636.46281,137110.44167
7,Brésil,🇧🇷,112832.90818,0.529244958535807,0.0,387.00631,113219.91449
8,Chine,🇨🇳,97137.36142,0.0681699181152758,0.0,181107.21659,278244.57801
9,Espagne,🇪🇦,95855.377,2.02380240266869,12.275,8685.34951,104528.45351
10,Canada,🇨🇦,91264.33881,2.40872915120484,123393.0,120169.46445,88040.80326
11,Australie,🇦🇺,64609.268468,2.51691735364238,56989.34,12275.63609,19895.564558
12,Suède,🇸🇪,60275.44784,5.81304347960266,482.0,599912.83944,659706.28728
13,Chili,🇨🇱,49797.445101,2.58017850264249,907370.0,859702.165278,2129.610379
14,Israël,🇮🇱,48203.92,5.50461573598264,0.0,17.2,48221.12
