,Producteur,Année,Scope,Emissions
0,Cermaq,2021,1,57334
1,Cermaq,2021,2,16291
2,Cermaq,2021,3,754069
3,Mowi,2021,1,137374
4,Mowi,2021,2,85131
5,Mowi,2021,3,1825745
6,Salmar,2021,1,26766
7,Salmar,2021,2,2961
8,Salmar,2021,3,1349082
9,Aquachile,2021,1,53959
10,Aquachile,2021,2,35962
11,Aquachile,2021,3,857684
12,Leroy Seafood,2021,1,141523
13,Leroy Seafood,2021,2,9851
14,Leroy Seafood,2021,3,1157174
15,Bakkafrost,2021,1,74881
16,Bakkafrost,2021,2,31851
17,Bakkafrost,2021,3,398121
18,Grieg Seafood,2021,1,30408
19,Grieg Seafood,2021,2,1994
20,Grieg Seafood,2021,3,366154
21,MultiExport,2021,1,56350
22,MultiExport,2021,2,7585
23,MultiExport,2021,3,342822
24,Australis Seafood,2021,1,30227
25,Australis Seafood,2021,2,5092
26,Australis Seafood,2021,3,375295
