,Parent company,Production Max,Link info (no text),Technologie,Species,Latest update,Country,Location,Location source,Carbon intensity of electricity - gCO2/kWh,elec_conso_kWh_low,elec_conso_kWh_high,carbon_kt_low,carbon_kt_high,Detailed status,Status,Lat,Long
13,Cermaq                         ,4000.0,https://www.rastechmagazine.com/akva-to-build-cermaq-norways-new-64m-post-smolt-facility/,RAS,Atlantic Salmon,2023.0,Norway,Hasvik,https://www.rastechmagazine.com/akva-to-build-cermaq-norways-new-64m-post-smolt-facility/,28.924809,38360000.0,90400000.0,14.989555673240002,16.4948027336,Permit,Project,70.4904164,22.0935648
14,Lista Laks,6000.0,https://ilaks.no/gront-lys-for-lista-laks/,RAS,Atlantic Salmon,2024.0,Norway,Farsund,https://ecofishcircle.no/en/project/list/,28.924809,57540000.0,135600000.0,22.48433350986,24.742204100400002,Permit,Project,58.1096165,6.6173039
15,Eco Fish Circle,4000.0,https://ecofishcircle.no/en/project/machrihanish/,RAS,Atlantic Salmon,2024.0,United Kingdom,Machrihanish,https://ecofishcircle.no/en/project/machrihanish/,261.1549,38360000.0,90400000.0,23.897901964,37.48840296,Permit,Project,55.437134,-5.675664
16,Ecofisk,40000.0,https://www.salmonbusiness.com/former-fisheries-minister-involved-in-land-based-fish-farming-project-in-rogaland-will-produce-40000-tonnes-of-salmon-in-old-quarry/,RAS,Atlantic Salmon,2019.0,Norway,Espevik,https://www.salmonbusiness.com/former-fisheries-minister-involved-in-land-based-fish-farming-project-in-rogaland-will-produce-40000-tonnes-of-salmon-in-old-quarry/,28.924809,383600000.0,904000000.0,149.89555673240002,164.948027336,Financial block,Project,59.34318,5.66478
17,Bordemar,24000.0,https://www.salmonbusiness.com/former-ewos-executives-behind-chiles-first-land-based-salmon-farm/,RAS,Not specified,2019.0,Chile,"Tumbes, Talcahuano",https://www.salmonbusiness.com/former-ewos-executives-behind-chiles-first-land-based-salmon-farm/,332.61234,230160000.0,542400000.0,159.83405617440002,263.688933216,Permit,Project,-36.63983567,-73.09999981
18,GeoSalmo,24000.0,https://weareaquaculture.com/news/aquaculture/geosalmo-now-has-the-financing-to-begin-construction,Hybrid FTS/RAS,Atlantic Salmon,2023.0,Iceland,Ölfus,https://weareaquaculture.com/news/aquaculture/geosalmo-now-has-the-financing-to-begin-construction,28.556593,230160000.0,542400000.0,89.85258544488,98.7690960432,Conceptual,Project,63.94174985,-21.41840681
19,Smart Aquaculture,21600.0,https://www.fishfarmingexpert.com/chile-smart-aquaculture/21600-tonne-land-based-salmon-farm-planned-in-chile/1513442,RAS,Not specified,2023.0,Chile,"Pargua, El Espino, Los Lagos Region",https://www.fishfarmingexpert.com/chile-smart-aquaculture/21600-tonne-land-based-salmon-farm-planned-in-chile/1513442,332.61234,207144000.0,488160000.00000006,143.85065055696,237.32003989440003,Conceptual,Project,-41.79026938,-73.46920528
20,Fish Farm,2000.0,https://thefishsite.com/articles/dubais-aquaculture-success-story-fish-farms-llc,RAS,Atlantic Salmon and non-salmonoids,2023.0,United Arab Emirates,"Jebel Ali, Dubai",https://thefishsite.com/articles/dubais-aquaculture-success-story-fish-farms-llc,407.97467,19180000.0,45200000.0,14.764954170600001,25.380455084,Operating,Operating,24.9968406,55.0457192
21,Salmon Evolution,20000.0,https://www.fishfarmingexpert.com/dongwon-industries-on-land-salmon-farming-salmon-evolution/salmon-evolution-and-dongwon-to-build-20000t-fish-farm-in-south-korea/1328863,Hybrid FTS/RAS,Atlantic Salmon,2021.0,South Korea,"Yangyang, Gangwon-do",https://www.seafoodsource.com/news/aquaculture/salmon-evolution-dongwon-confirm-joint-venture-to-build-land-based-salmon-farm-in-south-korea,437.60202,191800000.0,452000000.0,153.332067436,267.19611304,Conceptual,Project,38.0045,128.5951
22,Erko seafood,15000.0,https://www.intrafish.com/aquaculture/another-major-norwegian-firm-plans-land-based-salmon-farming-operation/2-1-319317,RAS,Atlantic Salmon,2018.0,Norway,"Sagvåg, Stord i Hordaland",https://www.intrafish.com/aquaculture/another-major-norwegian-firm-plans-land-based-salmon-farming-operation/2-1-319317,28.924809,143850000.0,339000000.0,56.21083377465,61.855510251,Operating,Operating,59.7721496,5.3825579
23,Driva Aquaculture,12000.0,https://norne.no/wp-content/uploads/2023/01/Land-Based_Salmon_Farming_Update_2023-01-24.pdf,RAS,Rainbow Trout and Atlantic Salmon,2023.0,Norway,"Frya, Ringebu",https://norne.no/wp-content/uploads/2023/01/Land-Based_Salmon_Farming_Update_2023-01-24.pdf,28.924809,115080000.0,271200000.0,44.96866701972,49.484408200800004,Permit,Project,61.5456085,10.0669481
24,Gaia Salmon,50000.0,https://www.fishfarmingexpert.com/flowthrough-gaia-salmon-norway/the-on-land-salmon-farm-40-miles-out-to-sea/1382566,RAS,Atlantic Salmon,2021.0,Norway,Træna,https://www.fishfarmingexpert.com/flowthrough-gaia-salmon-norway/the-on-land-salmon-farm-40-miles-out-to-sea/1382566,28.924809,479500000.0,1130000000.0,187.3694459155,206.18503417,In construction,In construction,66.5056854,12.1034418
25,Pure Salmon,20000.0,https://www.fishfarmingexpert.com/pure-salmon-virginia/work-slows-at-pure-salmons-us-ras-site-to-let-ground-settle/1463121,RAS,Atlantic Salmon,2022.0,United States,Tazewell County,http://www.virginiaplaces.org/agriculture/puresalmon.html,368.10196,191800000.0,452000000.0,140.001955928,235.78208592000001,Conceptual,Project,37.10720817,-81.83563546
26,Pure Salmon,20000.0,https://www.fishfarmingexpert.com/8f-asset-management-ace-aquatec-humane-stunner-universal/pure-salmon-lines-up-ace-aquatec-stunner-for-ras-plants/1295072,RAS,Atlantic Salmon,2022.0,China,Location not specified (China),https://www.fishfarmingexpert.com/8f-asset-management-ace-aquatec-humane-stunner-universal/pure-salmon-lines-up-ace-aquatec-stunner-for-ras-plants/1295072,533.9828,191800000.0,452000000.0,171.81790104,310.7602256,Conceptual,Project,34.87219321,103.3143549
27,Qingdao Guoxin,20000.0,https://www.fishfarmingexpert.com/8f-asset-management-ace-aquatec-humane-stunner-universal/pure-salmon-lines-up-ace-aquatec-stunner-for-ras-plants/1295072,RAS,Atlantic Salmon,2022.0,China,Yellow Sea (ship),https://www.fishfarmingexpert.com/china-fish-farm-in-a-ship-guoxin-1/chinas-fish-farm-in-a-ship-begins-operation/1182516,533.9828,191800000.0,452000000.0,171.81790104,310.7602256,Operating,Operating,35.4943,123.7965
28,Nordic Aqua Partner,20000.0,https://www.fishfarmingexpert.com/akva-benchmark-china-ras-farm/danes-plan-bigger-output-at-china-ras-farm/1207842,RAS,Atlantic Salmon,2021.0,China,"Gaotang Island, Ningbo",https://www.fishfarmingexpert.com/akva-benchmark-china-ras-farm/danes-plan-bigger-output-at-china-ras-farm/1207842,533.9828,191800000.0,452000000.0,171.81790104,310.7602256,Conceptual,Project,29.16866316,121.830309
29,Havlandet,30000.0,https://www.salmonbusiness.com/tank-breaks-at-land-based-salmon-farm-one-week-before-fish-are-supposed-to-be-put-in-it/,RAS,Atlantic Salmon,2020.0,Norway,Florø,https://www.salmonbusiness.com/tank-breaks-at-land-based-salmon-farm-one-week-before-fish-are-supposed-to-be-put-in-it/,28.924809,287700000.0,678000000.0,112.4216675493,123.711020502,Operating,Operating,61.6106363,5.0406094
30,Helgeland Miljofisk,40000.0,https://www.landbasedaq.no/helgeland-miljofisk/mattilsynet-sier-nei-til-dette-anlegget/1471980,RAS,Atlantic Salmon,2023.0,Norway,"Toft, Brønnøy",https://ilaks.no/slik-vil-helgeland-miljofisk-komme-i-gang-med-sin-landbaserte-produksjon/,28.924809,383600000.0,904000000.0,149.89555673240002,164.948027336,Conceptual,Project,65.4682627,12.1186463
31,Hjelvik Matfisk,10000.0,https://ilaks.no/hjelvik-matfisk-vil-slakte-landbasert-laks-til-varen/,RAS,Atlantic Salmon,2021.0,Norway,"Vågstranda, Møre og Romsdal",https://ilaks.no/hjelvik-matfisk-vil-slakte-landbasert-laks-til-varen/,28.924809,95900000.0,226000000.0,37.473889183100006,41.237006834,In construction,In construction,62.6053033,7.3236419
32,Kvidul,20000.0,https://thefishsite.com/articles/kvidul-secures-permit-for-land-based-salmon-and-smolt-farm,RAS,Atlantic Salmon,2022.0,Norway,"Brennholmen, Åfjord",https://thefishsite.com/articles/kvidul-secures-permit-for-land-based-salmon-and-smolt-farm,28.924809,191800000.0,452000000.0,74.94777836620001,82.474013668,Permit,Project,64.041199,10.028711
33,AquaBounty ,10000.0,https://www.fishfarmingexpert.com/aquabounty-q3-2023-pioneer-ohio-ras/aquabounty-farm-cost-estimate-rises-to-nearly-billion/1589267,RAS,Atlantic Salmon,2023.0,United States,"Pioneer, Ohio",https://www.fishfarmingexpert.com/aquabounty-q3-2023-pioneer-ohio-ras/aquabounty-farm-cost-estimate-rises-to-nearly-billion/1589267,368.10196,95900000.0,226000000.0,70.000977964,117.89104296000001,In construction,In construction,41.67989545,-84.55331553
34,First Water,50000.0,https://www.seafoodsource.com/news/aquaculture/icelandic-land-based-salmon-farm-has-first-commercial-harvest,RAS,Atlantic Salmon,2023.0,Iceland,Þorlákshöfn,https://www.firstwater.is/press-releases/production-increase-in-sustainable-salmon-farming,28.556593,479500000.0,1130000000.0,187.1928863435,205.76895009,Operating,Operating,63.844288,-21.405253
35,Lofoten Salmon,3100.0,https://ilaks.no/fremtiden-til-lofoten-salmon-sitt-landbaserte-anlegg-er-fortsatt-uavklart/,RAS,Atlantic Salmon,2023.0,Norway,Kleppstad,https://www.norskeutslipp.no/WebHandlers/PDFDocumentHandler.ashx?documentID=490299&documentType=T&companyID=127571&aar=0&epslanguage=en,28.924809,29729000.0,70060000.0,11.616905646761,12.78347211854,Permit,Project,68.247218,14.27269
36,Nordic Salmon AB,10000.0,https://www.salmonbusiness.com/10000-tonne-land-based-trout-farm-to-be-built-on-grounds-of-17th-century-swedish-castle/,RAS,Atlantic Salmon,2020.0,Sweden,"Gunnarstrop, Bjuv",https://www.salmonbusiness.com/10000-tonne-land-based-trout-farm-to-be-built-on-grounds-of-17th-century-swedish-castle/,45.119328,95900000.0,226000000.0,39.026943555200006,44.896968128000005,Conceptual,Project,56.1044274,12.9646502
37,Nordkapp Laks,4000.0,https://www.landbasedaq.no/gjennomstromning-landbasert-matfiskanlegg/gront-lys-for-det-forste-landbaserte-matfiskanlegget-i-troms-og-finnmark/1443732,Hybrid FTS/RAS,Atlantic Salmon,2022.0,Norway,"Honningsvåg, Nordkapp",https://www.landbasedaq.no/gjennomstromning-landbasert-matfiskanlegg/gront-lys-for-det-forste-landbaserte-matfiskanlegget-i-troms-og-finnmark/1443732,28.924809,38360000.0,90400000.0,14.989555673240002,16.4948027336,Permit,Project,70.9813264,25.9566831
38,Norwegian Mountain Salmon,25000.0,https://www.landbasedaq.no/norwegian-mountain-salmon/far-fem-millioner-i-stotte-til-landbasert-prosjekt/1567822,Hybrid FTS/RAS,Atlantic Salmon,2023.0,Norway,Utsira,https://www.norwegianmountainsalmon.no/who-we-are/,28.924809,239750000.0,565000000.0,93.68472295775,103.092517085,Conceptual,Project,59.298583,4.875076
39,Norwegian Seafarming ,13500.0,https://www.salmonbusiness.com/plans-unveiled-for-13500-tonnes-a-year-land-based-salmon-farm/,RAS,Atlantic Salmon,2021.0,Norway,"Ramsvika, Rogaland",https://www.salmonbusiness.com/plans-unveiled-for-13500-tonnes-a-year-land-based-salmon-farm/,28.924809,129465000.0,305100000.0,50.589750397185,55.6699592259,Conceptual,Project,59.398143,5.690835
40,Cape Nordic ,6000.0,https://www.seafoodsource.com/news/premium/aquaculture/south-african-danish-firm-to-proceed-with-land-based-ras-facility ,RAS,Atlantic Salmon,2021.0,South Africa,Elands Bay,https://capenordic.co.za/about-us/,708.20654,57540000.0,135600000.0,61.5702043116,116.852806824,Conceptual,Project,-32.31248419,18.33872756
41,Ocean Farm Holding,40.0,https://ilaks.no/ocean-farm-holding-far-tillatelse-til-produksjon-av-laks-i-landbasert-anlegg/,RAS,Atlantic Salmon,2022.0,Norway,"Hausvik, Lyngdal",https://ilaks.no/ocean-farm-holding-far-tillatelse-til-produksjon-av-laks-i-landbasert-anlegg/,28.924809,383600.0,904000.0,0.14989555673240001,0.164948027336,Permit,Project,58.04913,6.988008
42,OFS Norge,15000.0,https://www.landbasedaq.no/hybrid-gjennomstromming-matfisk-ofs-maloy/resirkulerer-85-uten-biofilter/1578020,RAS,Atlantic Salmon,2023.0,Norway,"Barstadvik, Vågsøy i Sogn og Fjordane",https://www.landbasedaq.no/hybrid-gjennomstromming-matfisk-ofs-maloy/resirkulerer-85-uten-biofilter/1578020,28.924809,143850000.0,339000000.0,56.21083377465,61.855510251,Permit,Project,62.361743,6.276533
43,Salfjord,36500.0,https://www.fishfarmingexpert.com/norway-salfjord-as-salmon/green-light-for-550m-land-based-salmon-farm/1539295,Hybrid FTS/RAS,Atlantic Salmon,2023.0,Norway,"Tjeldbergodden industry park, Aure",https://www.fishfarmingexpert.com/norway-salfjord-as-salmon/green-light-for-550m-land-based-salmon-farm/1539295,28.924809,350035000.0,824900000.0,136.779695518315,150.5150749441,Permit,Project,63.4163678,8.7041822
44,Salmon Evolution,28800.0,https://www.rastechmagazine.com/rastech23-inside-salmon-evolutions-ras-flowthrough-hybrid-model/,Hybrid FTS/RAS,Atlantic Salmon,2023.0,Norway,"Indre Harøy, Hustadvik",https://www.rastechmagazine.com/rastech23-inside-salmon-evolutions-ras-flowthrough-hybrid-model/,28.924809,276192000.0,650880000.0,107.924800847328,118.76257968192,Operating,Operating,62.8805463,6.9438864
45,Sande Aqua AS ,66000.0,https://www.intrafish.com/people/the-team-behind-this-600-million-land-based-salmon-farm-is-taking-shape/2-1-913953,RAS,Atlantic Salmon,2020.0,Norway,"Skipavik Business Park, Ånneland",https://www.intrafish.com/people/the-team-behind-this-600-million-land-based-salmon-farm-is-taking-shape/2-1-913953,28.924809,632940000.0,1491600000.0,247.32766860846002,272.16424510440004,Conceptual,Project,60.8611376,5.0370215
46,Seafood Group,35000.0,https://ilaks.no/satser-motstroms-pa-land-vil-bevise-at-det-ogsa-fungerer-pa-storre-fisk/,SIFT,Atlantic Salmon,2023.0,Norway,Tromsø,https://ilaks.no/satser-motstroms-pa-land-vil-bevise-at-det-ogsa-fungerer-pa-storre-fisk/,28.924809,335650000.0,791000000.0,131.15861214085,144.329523919,Operating,Operating,69.6675568,18.9221342
47,Singapore RAS ,2000.0,https://www.salmonbusiness.com/singapore-ras-signs-design-deal-with-norways-ofs-and-ontec/,RAS,Atlantic Salmon,2022.0,Singapore,Singapore,https://www.singapore-ras.com/,488.77533,19180000.0,45200000.0,16.3147108294,29.032644916000002,Conceptual,Project,1.283413,103.850284
48,Skagen Aquaculture,3000.0,https://ilaks.no/nytt-landbasert-oppdrettsanlegg-skal-fores-opp-i-skagen/,RAS,Atlantic Salmon,2020.0,Denmark,Skagen,https://ilaks.no/nytt-landbasert-oppdrettsanlegg-skal-fores-opp-i-skagen/,180.41837,28770000.0,67800000.0,15.6006365049,22.642365486000003,Operating,Operating,57.7372351,10.5648622
49,Smart Salmon,7500.0,https://ilaks.no/smart-salmon-endelig-klare-til-a-bygge-storsmoltanlegg-i-bremanger-men-prislappen-har-okt/,RAS,Atlantic Salmon,2024.0,Norway,Bremanger,https://www.rastechmagazine.com/smart-move-solving-a-long-standing-industry-challenge/,28.924809,71925000.0,169500000.0,28.105416887325,30.9277551255,Permit,Project,61.84094373,4.958940595
50,Smogenlax,6000.0,https://www.undercurrentnews.com/2021/10/26/smogenlax-to-build-salmon-ras-facility-in-sweden-using-aquamaof-technology/,RAS,Atlantic Salmon,2021.0,Sweden,Kungshamn,https://www.hatcheryinternational.com/aquamaof-signs-contract-for-construction-of-smogenlaxs-2000-ton-production-ras-facility/,45.119328,57540000.0,135600000.0,23.41616613312,26.9381808768,Conceptual,Project,58.372728,11.2486715
51,Tomren Fish,10000.0,https://ilaks.no/tomren-fish-det-har-vaert-litt-utfordrende-a-skaffe-kapital/,RAS,Atlantic Salmon,2023.0,Norway,"Trohaugholå, Vestnes",https://www.rbnett.no/nyheter/i/EwLdEa/satser-400-millioner-pa-oppdrett-i-vestnes,28.924809,95900000.0,226000000.0,37.473889183100006,41.237006834,Permit,Project,62.61494,6.964161
52,Tuloma Salmon,2500.0,https://www.fishfarmingexpert.com/aquamaof-kazakhstan-russia/aquamaof-clinches-salmon-ras-contracts-in-russia-and-kazakhstan/1156424,RAS,Atlantic Salmon,2021.0,Kazakhstan,"Khorgos East-Gate, Almaty region",https://www.seafoodsource.com/news/premium/aquaculture/russian-investment-fund-plans-atlantic-salmon-farm-in-kazakhstan,635.57367,23975000.0,56500000.0,23.91287873825,44.584912355,Conceptual,Project,44.21946088,80.2360687
53,Tytlandsvik Aqua,5000.0,https://www.fishfarmingexpert.com/grieg-seafood-on-land-salmon-post-smolts/grieg-dips-a-toe-into-on-land-salmon-farming/1206495,RAS,Atlantic Salmon,2021.0,Norway,"Hjelmeland, Årdal",https://www.norskeutslipp.no/WebHandlers/PDFDocumentHandler.ashx?documentID=681641&documentType=T&companyID=53487&aar=0&epslanguage=en,28.924809,47950000.0,113000000.0,18.736944591550003,20.618503417,Operating,Operating,59.270213,6.33265
54,Vadheim Akvapark,6000.0,https://www.intrafish.com/aquaculture/feed-company-spearheads-norwegian-land-based-salmon-project/2-1-355002,RAS,Atlantic Salmon,2018.0,Norway,"Vadheim, Høyanger",https://ilaks.no/vadheim-akvapark-haper-a-starte-byggingen-til-varen/,28.924809,57540000.0,135600000.0,22.48433350986,24.742204100400002,Permit,Project,61.20798782,5.830392745
55,Viking Aqua,33000.0,https://www.undercurrentnews.com/2022/02/09/viking-aqua-ramps-up-33000t-land-based-salmon-project-after-ras-deep-dive/,RAS,Atlantic Salmon,2022.0,Norway,"Ånneland, Gulen",https://www.vikingaqua.no/vision-mission/,28.924809,316470000.0,745800000.0,123.66383430423001,136.08212255220002,Permit,Project,60.88507904,4.975228272
56,Swiss Lachs,1800.0,https://www.salmonbusiness.com/land-based-salmon-farmer-given-green-light-to-triple-production/,RAS,Atlantic Salmon,2023.0,Switzerland,Lostallo,https://www.salmonbusiness.com/land-based-salmon-farmer-given-green-light-to-triple-production/,41.27851,17262000.0,40680000.0,6.95854963962,7.9252097868,Operating,Operating,46.3124749,9.195911322
57,AquaBounty ,1200.0,https://www.fishfarmingexpert.com/aquabounty-q3-2023-pioneer-ohio-ras/aquabounty-farm-cost-estimate-rises-to-nearly-billion/1589267,RAS,Atlantic Salmon (GMO),2023.0,United States,"Albany, Indiana",https://www.fishfarmingexpert.com/aquabounty-q3-2023-pioneer-ohio-ras/aquabounty-farm-cost-estimate-rises-to-nearly-billion/1589267,368.10196,11508000.0,27120000.0,8.400117355679999,14.1469251552,Operating,Operating,40.30074743,-85.24195163
58,Jurassic Salmon,1000.0,https://www.intrafish.com/aquaculture/land-based-salmon-producer-price-premium-helping-offset-production-issues/2-1-311443,RAS,Atlantic Salmon,2018.0,Poland,"Janowo, West Pomerania",https://seafood.media/fis/companies/details.asp?l=e&filterby=companies&company=Jurassic%20Salmon&page=1&company_id=166742&country_id=,633.22766,9590000.0,22600000.0,9.542653259400002,17.780945115999998,Operating,Operating,54.05712244,14.98369887
59,Sustainable Blue,1000.0,https://mydigitalpublication.com/publication/?m=&l=1&i=805839&p=14&ver=html5,RAS,Atlantic Salmon,2023.0,Canada,"Centre Burlington, Nova Scotia",https://www.cbc.ca/news/canada/nova-scotia/equipment-failure-salmon-killed-land-based-farm-1.7042712,125.84192,9590000.0,22600000.0,4.6768240128,6.314027392,Operating,Operating,45.07160603,-64.08726698
60,Xinjiang E'he Construction,1000.0,https://www.undercurrentnews.com/2013/08/23/danes-build-salmon-farm-in-gobi-desert/,RAS,Atlantic Salmon,2013.0,China,Gobi desert,https://0201.nccdn.net/4_2/000/000/038/2d3/18-summerfelt.-update-closed-containment-production-of-salmon.pdf,533.9828,9590000.0,22600000.0,8.590895052,15.538011280000001,Operating,Operating,43.7934,87.6271
61,Mt Cook Alpine Salmon,1000.0,https://www.seafoodsource.com/news/premium/aquaculture/new-zealand-company-planning-1-000-metric-ton-salmon-ras,Hybrid FTS/RAS,King Salmon,2022.0,New Zealand,Mackenzie or Waitaki Districts,https://www.fishfarmingexpert.com/new-zealand-king-salmon/kiwi-king-salmon-producer-plans-on-land-facility/1441474,105.215416,9590000.0,22600000.0,4.479015839440001,5.8478684015999995,Conceptual,Project,-44.80090418,170.6574657
62,Qingdao Guoxin,700.0,https://thefishsite.com/articles/pioneering-chinese-salmon-ras-changes-hands,RAS,"Atlantic Salmon, Coho Salmon, King Salmon and Rainbow Trout",2020.0,China,Yantai,https://thefishsite.com/articles/pioneering-chinese-salmon-ras-changes-hands,533.9828,6713000.0,15820000.000000002,6.0136265364,10.876607896000001,Operating,Operating,37.48029055,121.444571
63,Superior Fresh,700.0,https://www.intrafish.com/aquaculture/us-land-based-salmon-farmer-superior-fresh-looking-to-expand/2-1-1486602,RAS,Atlantic Salmon and Steelhead Trout,2023.0,United States,"Northfield, Wisconsin",https://www.intrafish.com/aquaculture/us-land-based-salmon-farmer-superior-fresh-looking-to-expand/2-1-1486602,368.10196,6713000.0,15820000.000000002,4.90006845748,8.252373007200001,Operating,Operating,44.46539096,-91.09891191
64,Kotoura Grand Salmon,600.0,https://www.seafoodsource.com/news/aquaculture/ras-salmon-projects-crowding-into-japan,RAS,Coho Salmon,2020.0,Japan,"Kotoura-Cho, Tohaku-gun",https://www.seafoodsource.com/news/aquaculture/ras-salmon-projects-crowding-into-japan,494.85748,5754000.0,13560000.0,4.929409939919999,8.792267428799999,Operating,Operating,35.45210539,133.6417147
65,Cape d'Or Salmon ,7000.0,https://norne.no/wp-content/uploads/2023/01/Land-Based_Salmon_Farming_Update_2023-01-24.pdf,RAS,Atlantic Salmon,2022.0,Canada,"Advocate Harbour, Nova Scotia",https://www.seafoodsource.com/news/aquaculture/cape-d-or-showcasing-promise-of-ras-salmon,125.84192,67130000.0,158200000.0,32.737768089599996,44.198191744,Operating,Operating,45.33808822,-64.77955699
66,Finger Lakes Fish ,400.0,https://thefishsite.com/articles/land-based-coho-salmon-farm-lands-major-funding,RAS,Coho Salmon,2023.0,United States,"Auburn, New York",https://www.localcoho.com/,368.10196,3836000.0,9040000.0,2.80003911856,4.715641718400001,Operating,Operating,42.93167123,-76.56663876
